session_id,date_utc,track,layout,car,class,session_type,weatherconditions,duration_s,continuous_span_s,laps,source_bytes,catalog_continuous,catalog_events
S289-b283ac11,2026-07-28T18:34:54Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Cadillac Hertz Team Jota 2026 #12:LM,Hyper,Practice,Overcast,261.8,70.0,0,3387392,56,42
S290-50b29cfb,2026-07-28T18:36:18Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Cadillac Hertz Team Jota 2026 #12:LM,Hyper,Practice,Overcast,346.035,94.0,0,4157440,56,42
S291-abeed2fe,2026-07-28T18:38:04Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Cadillac Hertz Team Jota 2026 #12:LM,Hyper,Practice,Overcast,452.005,276.0,2,8024064,56,42
S292-e7068d67,2026-07-28T18:44:44Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Race,Clear,11.0,11.0,0,1650688,56,42
S293-b75c85e2,2026-07-28T18:46:05Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Light Clouds,63.0,63.0,0,3010560,56,42
S294-7761945b,2026-07-28T18:47:46Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Light Clouds,58.0,58.0,0,2781184,56,42
S295-20dbad31,2026-07-28T18:48:50Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Light Clouds,73.0,73.0,0,3387392,56,42
S296-651878be,2026-07-28T18:50:07Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Light Clouds,142.665,33.0,0,2207744,56,42
S297-7673d5f4,2026-07-28T18:50:41Z,Daytona International Speedway,Daytona International Speedway Road Course,Alpine Endurance Team 2026 #35:WEC,Hyper,Practice,Light Clouds,228.0,228.0,1,7155712,56,42
S298-cab0530b,2026-07-28T20:35:03Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,15.0,15.0,0,1585152,56,42
S299-7ea0a7e0,2026-07-28T20:35:22Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,50.0,50.0,0,2469888,56,42
S300-909d1a81,2026-07-28T20:37:09Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,21.0,21.0,0,1847296,56,42
S301-ba80a6c8,2026-07-28T20:37:35Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,54.0,54.0,0,2666496,56,42
S302-fe3d5c8e,2026-07-28T20:38:33Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,98.245,13.0,0,1748992,56,42
S303-0d894638,2026-07-28T20:39:23Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,141.0,141.0,0,5599232,56,42
S304-5fc5abbf,2026-07-28T20:42:18Z,Daytona International Speedway,Daytona International Speedway Road Course,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,776.3,704.0,6,17362944,56,42
S305-78a35dd9,2026-07-28T20:55:20Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,607.8,607.0,7,15347712,56,42
S306-0bc3f645,2026-07-31T18:04:40Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,7884.0,7884.0,4,108212224,56,42
S307-3acd4737,2026-07-31T20:17:00Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,7896.99,33.0,0,2224128,56,42
S308-48991eb8,2026-07-31T20:17:38Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,7933.673,60.0,0,3092480,56,42
S309-08aec378,2026-07-31T20:18:42Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,8208.46,214.0,2,6582272,56,42
S310-dee7d056,2026-07-31T23:17:47Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,185.0,185.0,0,5451776,56,42
S311-a8df7b81,2026-08-05T22:32:22Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Heart of Racing Team 2026 #23:WEC,GT3,Practice,Light Clouds,2685.17,20.0,0,1699840,56,42
S312-4bf99f30,2026-08-05T22:39:29Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Heart of Racing Team 2026 #23:WEC,GT3,Practice,Light Clouds,3111.847,16.0,0,1585152,56,42
S313-7c046342,2026-08-05T22:41:02Z,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Heart of Racing Team 2026 #23:WEC,GT3,Practice,Clear,3205.06,19.0,0,1699840,56,42
S314-90be5bb1,2026-08-05T22:51:22Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,699.0,699.0,0,9990144,56,42
S315-9975b5dc,2026-08-05T23:32:23Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,707.86,43.0,0,2174976,56,42
S316-d21d076e,2026-08-05T23:33:09Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,1054.0,1054.0,0,15855616,56,42
S317-2e59d0fe,2026-08-05T23:50:44Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,1806.01,927.0,0,12660736,56,42
S318-39ed1c92,2026-08-09T17:31:05Z,WeatherTech Raceway Laguna Seca,WeatherTech Raceway Laguna Seca,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Light Clouds,91.59,20.0,0,1929216,56,42
S319-88956bb7,2026-08-13T13:50:06Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,30922.0,30922.0,0,276934656,56,42
S320-1271ed2d,2026-08-14T04:20:33Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,93.0,93.0,0,3846144,56,42
S321-715f645c,2026-08-14T04:22:08Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,171.0,171.0,0,4517888,56,42
S322-bae3b80a,2026-08-14T04:51:28Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,1521.0,1521.0,0,27471872,56,42
S323-a1d16226,2026-08-14T20:41:13Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,34.0,34.0,0,1765376,56,42
S324-7e2e6647,2026-08-14T20:58:07Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,1044.58,2.0,0,1355776,56,42
S325-a00ca135,2026-08-15T14:59:09Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,40.835,1.0,0,1323008,56,42
S326-a5c6d0c3,2026-08-16T17:12:32Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,13.0,13.0,0,1404928,56,42
S327-79025392,2026-08-16T17:12:47Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,10112.0,10112.0,0,112619520,56,42
S328-d57e98d6,2026-08-16T20:24:00Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,101.7,2.0,0,1339392,56,42
S329-d0bb08d4,2026-08-16T20:28:22Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,73.873,63.0,0,2764800,56,42
S330-5d719881,2026-08-16T20:38:14Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,39.0,39.0,0,1912832,56,42
S331-7146fbe2,2026-08-17T16:14:06Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,745.0,745.0,0,11579392,56,42
S332-a69876fe,2026-08-20T00:19:51Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,368.0,368.0,0,6926336,56,42
S333-37f353b1,2026-08-20T00:26:03Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,419.0,419.0,0,8138752,56,42
S334-8c6a75d8,2026-08-20T00:41:31Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,1304.382,53.0,0,2453504,56,42
S335-f13ecde1,2026-08-20T00:43:23Z,Autodromo Enzo e Dino Ferrari,Autodromo Enzo e Dino Ferrari,Genesis Magma Racing 2026 #17:LM,Hyper,Practice,Mostly Cloudy,1362.94,89.0,0,3403776,56,42
S336-5cb648f1,2026-08-21T00:18:54Z,Algarve International Circuit,Algarve International Circuit,ORT by TF #25:LM,GTE,Practice,Light Clouds,2255.645,14.0,0,1568768,56,42
