lapDistance,latitude,longitude
2592.28,59.9990840,-0.0036206
2595.63,59.9991040,-0.0036636
2599.09,59.9991260,-0.0037085
2602.57,59.9991500,-0.0037552
2606.16,59.9991720,-0.0038039
2609.88,59.9991900,-0.0038542
2613.60,59.9992140,-0.0039060
2617.55,59.9992370,-0.0039587
2621.61,59.9992560,-0.0040117
2625.76,59.9992800,-0.0040648
2630.02,59.9993060,-0.0041178
2634.06,59.9993300,-0.0041705
2638.45,59.9993550,-0.0042227
2642.91,59.9993820,-0.0042741
2647.43,59.9994130,-0.0043246
2652.00,59.9994400,-0.0043741
2656.56,59.9994700,-0.0044226
2661.08,59.9995040,-0.0044702
2665.55,59.9995350,-0.0045169
2670.01,59.9995700,-0.0045628
2674.49,59.9996030,-0.0046079
2679.04,59.9996380,-0.0046523
2683.64,59.9996720,-0.0046957
2688.30,59.9997100,-0.0047382
2693.02,59.9997500,-0.0047797
2697.80,59.9997860,-0.0048203
2702.63,59.9998250,-0.0048599
2707.51,59.9998630,-0.0048986
2712.45,59.9999050,-0.0049364
2717.43,59.9999430,-0.0049735
2722.47,59.9999850,-0.0050100
2727.55,60.0000270,-0.0050462
2732.67,60.0000700,-0.0050820
2737.84,60.0001100,-0.0051179
2743.06,60.0001560,-0.0051540
2748.32,60.0002000,-0.0051904
2753.63,60.0002440,-0.0052270
2758.98,60.0002860,-0.0052639
2764.37,60.0003300,-0.0053012
2769.80,60.0003780,-0.0053388
2775.26,60.0004230,-0.0053768
2780.76,60.0004700,-0.0054150
2786.29,60.0005150,-0.0054535
2791.87,60.0005600,-0.0054924
2797.49,60.0006070,-0.0055316
2803.12,60.0006520,-0.0055711
2808.66,60.0006980,-0.0056099
2814.03,60.0007440,-0.0056466
2819.26,60.0007860,-0.0056804
2824.39,60.0008300,-0.0057107
2829.42,60.0008740,-0.0057374
2834.33,60.0009160,-0.0057601
2839.13,60.0009600,-0.0057789
2843.83,60.0010030,-0.0057939
2848.46,60.0010450,-0.0058050
2853.04,60.0010870,-0.0058124
2857.65,60.0011300,-0.0058162
2862.34,60.0011700,-0.0058166
2867.15,60.0012130,-0.0058135
2872.08,60.0012550,-0.0058069
2877.08,60.0012970,-0.0057971
2882.07,60.0013400,-0.0057840
2887.04,60.0013800,-0.0057673
2892.04,60.0014200,-0.0057471
2897.07,60.0014600,-0.0057235
2902.08,60.0015000,-0.0056970
2907.08,60.0015400,-0.0056675
2912.06,60.0015800,-0.0056355
2917.01,60.0016170,-0.0056010
2921.96,60.0016560,-0.0055637
2926.90,60.0016940,-0.0055233
2931.84,60.0017280,-0.0054797
2936.78,60.0017660,-0.0054329
2941.73,60.0018000,-0.0053829
2946.68,60.0018350,-0.0053297
2951.63,60.0018650,-0.0052734
2956.56,60.0019000,-0.0052144
2961.47,60.0019300,-0.0051527
2966.36,60.0019600,-0.0050882
2971.24,60.0019900,-0.0050209
2976.16,60.0020180,-0.0049510
2981.14,60.0020500,-0.0048788
2986.20,60.0020750,-0.0048042
2991.35,60.0021000,-0.0047273
2996.55,60.0021300,-0.0046483
3001.81,60.0021500,-0.0045669
3007.12,60.0021740,-0.0044834
3012.48,60.0021970,-0.0043983
3017.89,60.0022200,-0.0043116
3023.36,60.0022430,-0.0042234
3028.87,60.0022620,-0.0041340
3034.42,60.0022850,-0.0040437
3040.02,60.0023040,-0.0039523
3045.66,60.0023270,-0.0038601
3051.32,60.0023460,-0.0037672
3057.02,60.0023700,-0.0036736
3062.76,60.0023900,-0.0035793
3068.53,60.0024100,-0.0034845
3074.36,60.0024340,-0.0033890
3080.22,60.0024570,-0.0032930
3086.13,60.0024800,-0.0031961
3092.08,60.0025000,-0.0030983
3098.08,60.0025200,-0.0029998
3104.11,60.0025440,-0.0029005
3110.17,60.0025670,-0.0028005
3116.28,60.0025860,-0.0026997
3122.42,60.0026100,-0.0025983
3128.59,60.0026320,-0.0024963
3134.80,60.0026550,-0.0023938
3141.05,60.0026780,-0.0022908
3147.33,60.0027000,-0.0021875
3153.63,60.0027240,-0.0020837
3159.96,60.0027470,-0.0019795
3166.32,60.0027700,-0.0018749
3172.72,60.0027920,-0.0017698
3179.15,60.0028150,-0.0016643
3185.60,60.0028400,-0.0015583
3192.08,60.0028650,-0.0014517
3198.59,60.0028880,-0.0013445
3205.13,60.0029100,-0.0012369
3211.70,60.0029370,-0.0011289
3218.31,60.0029600,-0.0010205
3224.94,60.0029830,-0.0009117
3231.60,60.0030100,-0.0008026
3238.29,60.0030330,-0.0006930
3245.00,60.0030600,-0.0005831
3251.75,60.0030860,-0.0004729
3258.54,60.0031100,-0.0003623
3265.36,60.0031360,-0.0002515
3272.20,60.0031620,-0.0001403
3279.05,60.0031900,-0.0000290
3285.93,60.0032160,0.0000825
3292.82,60.0032420,0.0001940
3299.74,60.0032700,0.0003057
3306.68,60.0032960,0.0004176
3313.63,60.0033260,0.0005299
3320.59,60.0033530,0.0006424
3327.57,60.0033800,0.0007552
3334.59,60.0034100,0.0008683
3341.61,60.0034370,0.0009818
3348.65,60.0034640,0.0010956
3355.56,60.0034900,0.0012075
3362.24,60.0035170,0.0013156
3368.68,60.0035440,0.0014197
3374.86,60.0035670,0.0015198
3380.80,60.0035900,0.0016158
3386.49,60.0036130,0.0017079
3391.97,60.0036350,0.0017964
3397.25,60.0036540,0.0018819
3402.34,60.0036740,0.0019644
3407.25,60.0036960,0.0020438
3411.98,60.0037100,0.0021203
3416.55,60.0037300,0.0021942
3420.96,60.0037500,0.0022654
3425.21,60.0037650,0.0023338
3429.34,60.0037840,0.0023998
3433.35,60.0038000,0.0024633
3437.25,60.0038200,0.0025244
3441.02,60.0038340,0.0025831
3444.67,60.0038530,0.0026390
3448.18,60.0038700,0.0026921
3451.56,60.0038870,0.0027421
3454.83,60.0039060,0.0027891
3457.94,60.0039250,0.0028330
3460.90,60.0039440,0.0028737
3463.81,60.0039630,0.0029116
3466.60,60.0039830,0.0029469
3469.33,60.0040000,0.0029793
3472.12,60.0040200,0.0030091
3475.02,60.0040400,0.0030359
3477.59,60.0040630,0.0030597
3480.54,60.0040800,0.0030805
3482.98,60.0041000,0.0030982
3485.93,60.0041240,0.0031129
3488.26,60.0041430,0.0031246
3491.14,60.0041600,0.0031334
3493.38,60.0041800,0.0031393
3496.19,60.0042040,0.0031425
3498.44,60.0042230,0.0031430
3501.25,60.0042420,0.0031411
3503.55,60.0042650,0.0031365
3506.36,60.0042840,0.0031294
3508.72,60.0043070,0.0031195
3511.57,60.0043260,0.0031069
3513.99,60.0043450,0.0030918
3516.87,60.0043680,0.0030742
3519.36,60.0043870,0.0030541
3522.18,60.0044060,0.0030312
3524.92,60.0044250,0.0030056
3527.44,60.0044440,0.0029777
3530.10,60.0044600,0.0029474
3532.66,60.0044800,0.0029150
3535.33,60.0044940,0.0028803
3537.97,60.0045100,0.0028434
3540.70,60.0045200,0.0028043
3543.41,60.0045360,0.0027632
3546.23,60.0045470,0.0027201
3549.00,60.0045600,0.0026752
3551.90,60.0045660,0.0026285
3554.86,60.0045740,0.0025802
3557.76,60.0045850,0.0025302
3560.87,60.0045900,0.0024783
3563.95,60.0045970,0.0024245
3567.23,60.0046040,0.0023690
3570.58,60.0046120,0.0023116
3573.89,60.0046160,0.0022529
3577.36,60.0046200,0.0021928
